time (seconds),encoderLeft (meters),encoderRight (meters)
10.002,0.17488615214824677,-0.14508645236492157
10.099,0.17988497018814087,-0.1400877684354782
10.2,0.18488378822803497,-0.13508908450603485
10.302,0.18988262116909027,-0.1300903707742691
10.402,0.19488143920898438,-0.12509168684482574
10.502,0.19988030195236206,-0.1200929582118988
10.6,0.20487910509109497,-0.11509427428245544
10.703,0.20987793803215027,-0.11009558290243149
10.802,0.21487681567668915,-0.10509683191776276
10.901,0.21987564861774445,-0.1000981330871582
11.002,0.22487443685531616,-0.09509946405887604
11.101,0.22987331449985504,-0.0901007279753685
11.201,0.23487211763858795,-0.08510204404592514
11.302,0.23987092077732086,-0.08010336756706238
11.402,0.24486976861953735,-0.07510466128587723
11.499,0.24986860156059265,-0.07010596245527267
11.602,0.25486743450164795,-0.06510726362466812
11.702,0.25986623764038086,-0.06010856851935387
11.8,0.26486507058143616,-0.055109865963459015
11.902,0.26986393332481384,-0.050111137330532074
12.002,0.27486276626586914,-0.04511243849992752
12.102,0.27986156940460205,-0.04011376574635506
12.202,0.28486043214797974,-0.03511505201458931
12.302,0.28985926508903503,-0.030116338282823563
12.399000000000001,0.29485809803009033,-0.02511763758957386
12.502,0.29985693097114563,-0.02011892944574356
12.603,0.3048558235168457,-0.015120177529752254
12.701,0.3098546266555786,-0.010121490806341171
12.802,0.3148534893989563,-0.005122784525156021
12.903,0.3198522925376892,-0.00012410420458763838
13.001,0.3248511254787445,0.004874617792665958
13.102,0.3298499882221222,0.009873328730463982
13.202,0.3348487913608551,0.014871997758746147
13.302,0.339847594499588,0.019870687276124954
13.402,0.3448463976383209,0.024869365617632866
13.502,0.34984520077705383,0.02986803650856018
13.602,0.35484403371810913,0.034866709262132645
13.71,0.35984286665916443,0.039865415543317795
13.801,0.36484166979789734,0.044864095747470856
13.901,0.36984050273895264,0.049862805753946304
14.002,0.37483933568000793,0.05486149340867996
14.102,0.379838228225708,0.05986024811863899
14.202,0.38483697175979614,0.06485889106988907
14.304,0.3898358643054962,0.0698576271533966
14.402,0.3948346674442291,0.07485629618167877
14.501,0.3998335003852844,0.07985500246286392
14.602,0.40483230352401733,0.08485368639230728
14.701,0.409831166267395,0.08985241502523422
14.802,0.4148299992084503,0.09485112875699997
14.902,0.4198288917541504,0.09984986484050751
15.002,0.4248276948928833,0.10484854131937027
15.103,0.4298265278339386,0.10984725505113602
15.202,0.4348253607749939,0.11484594643115997
15.302,0.4398241639137268,0.11984463036060333
15.402,0.44477319717407227,0.12479351460933685
15.501,0.4447495937347412,0.12481961399316788
15.602,0.4422510266304016,0.12731680274009705
15.701,0.4397507607936859,0.1298157274723053
15.802,0.4372504949569702,0.13231465220451355
15.903,0.43482503294944763,0.13483835756778717
16.002,0.43981966376304626,0.1398364156484604
16.101,0.4448184669017792,0.14483508467674255
16.202,0.44981732964515686,0.1498338133096695
16.301,0.45481616258621216,0.15483251214027405
16.398,0.45981496572494507,0.1598311960697174
16.501,0.464813768863678,0.16482986509799957
16.602,0.46981263160705566,0.1698286086320877
16.701,0.4748114347457886,0.17482729256153107
16.802,0.47981032729148865,0.179826021194458
16.902,0.48480910062789917,0.18482467532157898
17.003,0.48980793356895447,0.18982338905334473
17.102,0.49480679631233215,0.19482210278511047
17.202,0.49980562925338745,0.19982081651687622
17.302,0.5048044919967651,0.20481953024864197
17.402,0.5098033547401428,0.2098182588815689
17.501,0.5148021578788757,0.21481694281101227
17.602,0.5198010206222534,0.21981565654277802
17.701999999999998,0.5247998237609863,0.22481437027454376
17.802,0.529798686504364,0.22981305420398712
17.904,0.5347974896430969,0.2348117232322693
18.002,0.5397962331771851,0.23981039226055145
18.102,0.5447950959205627,0.2448090761899948
18.202,0.5497938990592957,0.24980776011943817
18.302,0.5547927021980286,0.2548064589500427
18.402,0.5597915649414062,0.25980517268180847
18.502,0.5647903680801392,0.26480385661125183
18.6,0.5697892308235168,0.2698025703430176
18.701999999999998,0.5747880339622498,0.27480125427246094
18.803,0.5797868967056274,0.2797999382019043
18.902,0.5847856998443604,0.28479865193367004
18.999,0.589784562587738,0.2897973656654358
19.101,0.594783365726471,0.29479604959487915
19.202,0.5997821688652039,0.2997947335243225
19.302,0.6047810316085815,0.30479344725608826
19.402,0.6097798347473145,0.3097921311855316
19.5,0.6147786974906921,0.31479084491729736
19.602,0.6197775602340698,0.3197895586490631
19.701999999999998,0.6247763633728027,0.32478824257850647
19.802,0.6297751665115356,0.3297869563102722
19.902,0.6347740292549133,0.33478569984436035
20.002,0.639772891998291,0.3397843837738037
20.102,0.6447716951370239,0.34478306770324707
20.201,0.6497705578804016,0.3497818112373352
20.302,0.6547693610191345,0.35478049516677856
20.402,0.6597682237625122,0.3597792387008667
20.501,0.6647670269012451,0.36477789282798767
20.602,0.669765830039978,0.36977657675743103
20.699,0.6747647523880005,0.37477532029151917
20.802,0.6797635555267334,0.3797740042209625
20.9,0.6847624182701111,0.38477271795272827
21.002,0.689761221408844,0.38977140188217163
21.101,0.6947600841522217,0.39477014541625977
21.202,0.6997588872909546,0.3997688591480255
21.302,0.7047577500343323,0.40476757287979126
21.399,0.7096817493438721,0.40974149107933044
21.502,0.7071850299835205,0.4122415781021118
21.602,0.7046847343444824,0.41474053263664246
21.7,0.7021844387054443,0.4172395169734955
21.802,0.6997588276863098,0.4197632372379303
21.902,0.7047533988952637,0.42476126551628113
22.002,0.7097522020339966,0.4297599494457245
22.102,0.7147510647773743,0.43475866317749023
22.202,0.7197498679161072,0.4397573471069336
